Date,Time,Open,Max,Min,Closure,Volume
2015.09.21,00:00,1.1287,1.1329,1.1180,1.1188,12832
2015.09.22,00:00,1.1189,1.1207,1.1112,1.1125,12614
2015.09.23,00:00,1.1126,1.1212,1.1104,1.1188,16306
2015.09.24,00:00,1.1187,1.1295,1.1163,1.1174,17437
2015.09.25,00:00,1.1175,1.1212,1.1115,1.1193,16159
2015.09.28,00:00,1.1195,1.1247,1.1145,1.1240,14502
2015.09.29,00:00,1.1241,1.1280,1.1193,1.1251,16331
2015.09.30,00:00,1.1250,1.1260,1.1156,1.1172,13415
2015.10.01,00:00,1.1171,1.1208,1.1134,1.1186,12878
2015.10.02,00:00,1.1185,1.1317,1.1150,1.1217,16908
2015.10.05,00:00,1.1216,1.1288,1.1173,1.1183,13960
2015.10.06,00:00,1.1184,1.1278,1.1171,1.1268,10891
2015.10.07,00:00,1.1269,1.1283,1.1210,1.1237,11629
2015.10.08,00:00,1.1236,1.1327,1.1234,1.1281,11945
2015.10.09,00:00,1.1280,1.1386,1.1266,1.1357,12033
2015.10.12,00:00,1.1360,1.1396,1.1354,1.1357,6018
2015.10.13,00:00,1.1358,1.1410,1.1343,1.1381,9707
2015.10.14,00:00,1.1380,1.1488,1.1379,1.1481,11323
2015.10.15,00:00,1.1482,1.1494,1.1362,1.1378,13264
2015.10.16,00:00,1.1379,1.1394,1.1333,1.1352,10677
2015.10.19,00:00,1.1357,1.1378,1.1305,1.1328,9816
